professor_id,name,email,department
2f42cd9f-80f9-40aa-a25f-971b2c0d11b1,Anthony Barnett,abarnett@tamu.edu,School of Public Health
59f93931-40e3-455b-baee-94dbbabf5050,Michael Tucker,mtucker@tamu.edu,College of Education and Human Development
716865a8-8d5a-4681-894c-4709f1c6c05c,Christopher Doyle,cdoyle@tamu.edu,Irma Lerma Rangel College of Pharmacy
0fe7c5fc-67ca-4df7-8ef3-f766c00f0002,Tina Wilson,twilson@tamu.edu,College of Engineering
5cc3a973-3457-499e-a2c1-6e143884c1aa,Joann Heath,jheath@tamu.edu,College of Dentistry
337199e0-82ab-41ca-a583-4f606b4777df,Jeffrey Horn,jhorn@tamu.edu,College of Arts and Sciences
d5eb10ee-6554-48da-aa23-5dfbc482f57f,Patrick Fitzgerald,pfitzgerald@tamu.edu,College of Education and Human Development
8c286fd1-b9e3-40a5-9d2c-2708da060601,Alison Hardy,ahardy@tamu.edu,Bush School of Government and Public Service
a2306d8a-bbda-4812-ae0e-d1927d4a6323,Kendra Callahan,kcallahan@tamu.edu,Mays Business School
1b47abf6-b093-473e-9be0-306b0604354e,Chloe Harris,charris@tamu.edu,Irma Lerma Rangel College of Pharmacy
3d7a2662-1b65-4bf0-8606-0bab7b1e69e4,Willie Reed,wreed@tamu.edu,Bush School of Government and Public Service
ed8a5254-63a6-4e30-88a2-229ab4f0f5d3,Annette Wright,awright@tamu.edu,Bush School of Government and Public Service
43abb631-d0b0-49a5-b1d8-374b60af6607,Lauren Hughes,lhughes@tamu.edu,College of Dentistry
f1c76648-63f6-4849-908e-90a270e99b8d,Matthew Christian,mchristian@tamu.edu,Mays Business School
da185c19-5aa0-46f0-9209-b50e1db20ccf,Angel Davidson,adavidson@tamu.edu,College of Nursing
dd8c070a-d7ba-4bba-8235-d0f7213d482d,Justin Walters,jwalters@tamu.edu,College of Medicine
b4665875-e1c7-4f29-a9fa-ec31c06b3540,Savannah Wolf DDS,swolf@tamu.edu,Bush School of Government and Public Service
5cce1acd-4f9b-4168-a61d-5e63f6aaef79,Veronica Merritt,vmerritt@tamu.edu,College of Veterinary Medicine and Biomedical Sciences
aed5a76b-eb56-413a-acad-6ebc9321ddb3,Scott Sims,ssims@tamu.edu,College of Nursing
ff6bb99a-7ca7-4df9-a97d-a07e292af3c2,Brett Klein,bklein@tamu.edu,College of Engineering
bb16e8b8-831a-4909-9bf3-72ea8a42b981,Timothy Simmons,tsimmons@tamu.edu,College of Arts and Sciences
e00251cb-3f06-4490-8ba5-db19d75c72ba,Dalton Torres,dtorres@tamu.edu,"College of Performance, Visualization and Fine Arts"
